created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Mar 26 10:28:41 +0000 2024;1772571366719672555;"PORTO THAT GOT ME INTO ISI SURAGHHHHH Alhamdulillah🗣‼️‼️‼️  #portofoliosnbp2024 #snbp2024 #fsrd https://t.co/vCefNh1Ty8";20;18;94;849;in;1759800123264245760;1772571366719672555;vampaiyah;https://twitter.com/vampaiyah/status/1772571366719672555
Tue Mar 26 10:22:24 +0000 2024;1772569786368614852;"Selamat buat kakak kakak sekalian yang mendapatkan kabar baik 💙 #SNBP2024 #PTN";0;0;0;0;in;1527967735010820098;1772569786368614852;rndyz_pratama;https://twitter.com/rndyz_pratama/status/1772569786368614852
Tue Mar 26 10:21:17 +0000 2024;1772569506155512127;"YA ALLAH.... BENERAN LOLOS TEKDUS UI NIIH??😭😭💙💙 #SNBP #SNBP2024 https://t.co/yJStfDorVV";0;1;2;8;in;1764212863894491136;1772569506155512127;jjongcath;https://twitter.com/jjongcath/status/1772569506155512127
Tue Mar 26 10:18:37 +0000 2024;1772568832697065920;"Untuk kamu yang belum beruntung di jalur SNBP, kami tunggu di jalur lainnya untuk menjadi Cucu Jenderal selanjutnya!   Selamat dan sampai Jumpa!  ______________________ Badan Eksekutif Mahasiswa Universitas Jenderal Soedirman   #BEMUnsoed2024 #SNBP2024 #Gensoed2024";0;0;0;0;in;297204645;1772568830109499861;BEM_Unsoed;https://twitter.com/BEM_Unsoed/status/1772568832697065920
Tue Mar 26 10:17:21 +0000 2024;1772568516396212333;"Bagaimana Jika Tidak Lolos SNBP 2024, Ini Solusinya https://t.co/PM9CMldQ3M  #5news #SNBP #SNBP2024 #snbt #snbt2024 #utbk #utbk2024";0;0;2;2;in;978806873720700928;1772568516396212333;Redaksi_5News;https://twitter.com/Redaksi_5News/status/1772568516396212333
Tue Mar 26 10:14:46 +0000 2024;1772567865465651604;"Selamat berdinamika di HI Unsoed! 🤩🤍  Tags. GENSOED HI UNSOED #SNBP2024 #SNBP #HIUNSOED #UNSOED #KOMAHIUNSOED";0;0;0;0;in;1521176689;1772567566176997834;UnsoedKomahi;https://twitter.com/UnsoedKomahi/status/1772567865465651604
Tue Mar 26 10:13:47 +0000 2024;1772567618026983535;"Selamat adik 🥹❤️‍🔥❤️‍🔥🥺🥺🥺🥰🥰🥰🥳🥳🥳❤️‍🔥❤️‍🔥❤️‍🔥, jadi anak HI di undip👏👏👏 #SNBP #Undip #hubunganinternasional #snbp2024 https://t.co/owT61fNFwt";0;4;0;11;in;1257515281821257729;1772567618026983535;linxxyou;https://twitter.com/linxxyou/status/1772567618026983535
Tue Mar 26 10:13:40 +0000 2024;1772567589312405803;"ALLHAMDULILLAH LULUS SNBP 2024, HADIAH TERBAIK🥹💙 #SNBP #snbp2024 https://t.co/CZKskghyts";0;1;0;3;in;1606337996596600833;1772567589312405803;lima6tujuh8;https://twitter.com/lima6tujuh8/status/1772567589312405803
Tue Mar 26 10:12:57 +0000 2024;1772567409213297006;"Ikut meramaikan kesenangan si adek  #snbp #hasilsnbp #its #snbpits #biru #merah #snbp2024 #alhamdulillah https://t.co/wpCQFmKjO1";0;0;0;3;in;1467695999963389955;1772567409213297006;Nmc34314167;https://twitter.com/Nmc34314167/status/1772567409213297006
Tue Mar 26 10:10:00 +0000 2024;1772566664686506378;"LINK dan Cara Buat FAKE SNBP 2024, Prank Pengumuman Selamat Lolos Seleksi Edit di Tools Revesery #snbp2024 #SNBP #FakeSNBP #fake  https://t.co/pRheW6XFtk";0;0;0;0;in;1287642738683342848;1772566664686506378;berita_diy;https://twitter.com/berita_diy/status/1772566664686506378
Tue Mar 26 10:04:46 +0000 2024;1772565348950167734;"hi! selamat datang dan bergabung bagi teman-teman yang lolos SNBP 2024 FISIP UIN Jakarta (sosiologi, ilmu politik, dan hubungan internasional)   silakan chat CP di bawah ini sesuai jurusan kalian masing-masing yaa🙌  #SNBP #SNBP2024 #SOSIOLOGI #POLITIK #HI #FISIP #UIN https://t.co/Wq2xKD01ro";0;0;1;1;in;1469563827536556032;1772565348950167734;clmadelayne;https://twitter.com/clmadelayne/status/1772565348950167734
Tue Mar 26 10:00:43 +0000 2024;1772564329629454388;"MIXED FEELINGSSS, semangatt semuanyaa #snbp2024 https://t.co/nkhVprHsfu";0;0;0;0;in;1452930822189641730;1772564329629454388;ssunsunflow;https://twitter.com/ssunsunflow/status/1772564329629454388
Tue Mar 26 09:55:38 +0000 2024;1772563050249269758;"Alhamdulillah... Teknik Sipil... SEMANGAT TERUS BUAT TEMEN-TEMEN YANG MUNGKIN BELUM BERKESEMPATAN LOLOS SNBP... AKU DOAIN SECEPATNYA KALIAN NYUSUL LEWAT JALUR SNBT, MANDIRI DAN JALUR' MANAPUN❤️❤️❤️❤️❤️  #snbp2024 #biru";0;0;0;0;in;1351892463359721486;1772563050249269758;nabillaelysia1;https://twitter.com/nabillaelysia1/status/1772563050249269758
Tue Mar 26 09:55:17 +0000 2024;1772562961103790167;"GAISSSS AKU LOLOOSSS 😭😭💙💙💙 yg lolos selamattt ya dan yg belum lolos semangattt terus jangan patah semangat karena masih bnyk jalan lain menuju sukses 🔥🔥🔥🔥🔥 #snbp #snbp2024 https://t.co/VAFI58uR1X";0;0;0;2;in;1409193735062097922;1772562961103790167;tantechulo_;https://twitter.com/tantechulo_/status/1772562961103790167
Tue Mar 26 09:53:26 +0000 2024;1772562494738899105;"semangat" teman teman yang sudah ketrima snbp tahun inii proud of u🤍🌷 #snbp2024";0;0;0;0;in;1714216183627759616;1772562494738899105;LomlX50279;https://twitter.com/LomlX50279/status/1772562494738899105
Tue Mar 26 09:51:40 +0000 2024;1772562051891904990;"Tetap semangat semua buat yg dapet merah #SNBP2024 ku tunggu di prodi Pariwisata UNY";0;3;0;1;in;1624395060619145216;1772562051891904990;urshaze;https://twitter.com/urshaze/status/1772562051891904990
Tue Mar 26 09:51:21 +0000 2024;1772561973747782119;"sebenarnya aku gak mau kuliah,tapi aku tetep daftar snbp terus hasilnya gak lolos. harusnya aku biasa aja karna emang gak mau kuliah,tapi kok kesel ya gak lolos, kek ngerasa kalah banget. #SNBP #snbp2024";0;0;0;0;in;1702488877892845568;1772561973747782119;Hanna_Nm18;https://twitter.com/Hanna_Nm18/status/1772561973747782119
Tue Mar 26 09:49:43 +0000 2024;1772561562345074879;"Tepat hari ini, Gw Trauma melihat hasil SNBP walaupun trauma tetap bangkit dan coba lagi hingga tercapai.   #FN #snbp2024";0;0;0;1;in;1424573456029347840;1772561562345074879;firman__nurhuda;https://twitter.com/firman__nurhuda/status/1772561562345074879
Tue Mar 26 09:45:45 +0000 2024;1772560564671086721;"Welcome Communite 2024! 💙 Selamat ya yang sudah keterima melalui jalur SNBP, untuk yang belum jangan berkecil hati masih banyak jalan menuju Rabraw 💙😼💪🏼 #IlmuKomunikasiUB #IlmuKomunikasi  #SNBP2024";0;1;3;12;in;260565884;1772560564671086721;himanikaUB;https://twitter.com/himanikaUB/status/1772560564671086721
Tue Mar 26 09:41:27 +0000 2024;1772559479218856098;"ALHAMDULILLAH LOLOS SNBP PIL 1 AAAAA MAKASIH YA ALLAH 🫶🫶🫶 #snbp2024 https://t.co/U9DJBhFyNC";0;2;1;17;in;1329584096222142467;1772559479218856098;gxtousgr;https://twitter.com/gxtousgr/status/1772559479218856098
